start	end	text
17040	48180	Bestimmt aus Datenschutzgründen, dass jeder auf Stop drücken darf. Wir sind zur Turbot gerade angekommen. Ganden hat in Daro Fel noch die Mütze aufgesetzt, dass er nichts sieht.
94190	108400	Also wir haben aufgehört mit, wir fahren in die Turbot rein, oder? Das heißt, wenn wir genau da weitermachen, dann nein, haben wir eben noch nicht abgezogen.
108400	800780	Also Ghalrixtho so steht da wieder so an der Tür zu in die Kombüse rein und ich nicke Ganden zu. Gran. Der ist ja auch bestimmt ausgehungert, dann wirkt der Alkohol schneller. 18. Ja, ich beobachte ihn auch weiterhin. Also ich stehe da so an der Tür und gucke, wie er sich verhält.
800780	1066260	Was ist denn die letzten drei Tage passiert? Du saßt einfach nur im Keller und sie haben dich nichts gefragt, sie haben dich einfach ignoriert. Wir arbeiten für uns. Wir wollen hier weg, genauso wie du hier weg willst.
1066260	1423200	Ich habe dir gerade eine Frage gestellt. Ich hätte gerne eine Antwort darauf. Was in den letzten drei Tagen passiert ist, was der ISB-Officer von dir wollte. Ob sie dich einfach in Ruhe gelassen haben, was sie dich gefragt haben. Wie viel trinkt er denn so, während er das erzählt?
1423200	1449060	hast du für uns auch was zu essen gemacht?
1458040	1461340	Also ich würde dann mich auch mal neben ihn setzen
1461340	1465500	und da anfangen auf diesen Tintenfischring rumzukauen,
1465640	1469620	sehr steuerisch, lange auf, wenn ich da einen erwische, der vielleicht
1469620	1473920	ein bisschen zäher ist, ausführlich
1473920	1478700	da drauf rumkauen und ihm dann zwischendurch auch nochmal
1478700	1480720	zu prosten und ihn
1480720	1482820	zu verleiten, dass er
1482820	1587660	auch weiter trinkt. Ich gucke ihn an.
1589060	1589720	Und was
1589720	1591380	ist deine Idee, wie wir durch die Blockade
1591380	1607670	durchkommen? Ich denke, wir werden
1607670	1608610	etwas,
1608790	1611650	eine Möglichkeit
1611650	1613670	finden, aber der Tag war lang.
1614930	1615590	Ich denke, bevor
1615590	1617690	wir aufbrechen, sollten wir alle ausgeruht sein.
1619390	1619790	Ich gucke
1619790	1621030	auch, wir sind ja noch
1621030	1622890	auch etwas blutverschmiert
1622890	1624910	nach diesem Kampf.
1625570	1655900	und wir wissen von Seido, wo du warst.
1664820	1666440	Das haben wir von Seido erfahren.
1666600	1668200	Wir haben von Seido auch erfahren, wo
1668200	1672640	dein Gepäck liegt am Raumhafen
1672640	1674640	und wir haben die Sachen bereits eingesammelt.
1675780	1678020	Wir haben noch den Koffer mitgenommen.
1680940	1682580	Ich kann mich gerade nicht erinnern.
2852150	2869010	Wieso hast du denn das Gefühl,
2869110	2869870	dass er wertvoll ist?
2874350	2877590	für den ist das ein Auftrag, den haben wir angenommen.
2881140	2883240	Den würde er jetzt abschließen wollen.
2895040	2898320	Ich sehe noch nicht den Vorteil, den du siehst, Ganden, glaube ich,
2898760	2962030	in diesem Zwerg. Also vor allen Dingen, wieso wäre sein Kontakt denn wertvoll?
2962110	2965910	Er war zehn Jahre auf Lothal, alle Leute, die er auf Lothal kennt,
2966330	2968950	mit denen hat er sich jetzt verscherzt und jetzt flieht er in die Galaxis.
2968950	3026120	Was bringt er uns da? Dann können wir immer noch versuchen, den Transponder abzunehmen.
3026120	3047360	wieso sollte er uns umbringen wollen?
3052510	3054650	Wir haben Jobs für ihn erledigt,
3054750	3055810	wieso sollte er uns jetzt umbringen?
3055890	3057050	Wir waren nützlich für ihn.
3057470	3059650	Wieso sollten wir jetzt auf einmal nicht mehr nützlich für ihn sein?
3080680	3084340	Also, ich gucke Kumaro und kann dann,
3084560	3086540	es ist nicht das erste Mal, dass ich so einen Job mache.
3089330	3092050	Und natürlich gebe ich euch recht, man muss vorsichtig sein,
3092050	3095830	aber ich sehe aktuell kein Anzeichen dafür,
3095830	3101970	dass wir Rax Vonn mit übertriebener Misstrauen gegenüber treten sollten.
3103470	3106830	Mein Vorschlag wäre, wir bringen darauf hell...
3106830	3110820	Ich habe das akustisch gerade nicht verstanden, wie bitte?
3118390	3123570	Die meisten Auftraggeber, die Kopfgeldjäger beauftragen, haben nicht den saubersten Ruf.
3160930	3166610	Ich bleibe dabei, wenn wir uns das weiter anschauen wollen, dann sollten wir vorher diesen Transponder organisieren.
3176600	3178760	Ich bin offen dafür, dass wir uns das weiter anschauen,
3178900	3180720	aber ich möchte erst diesen Transponder haben.
3201440	3202220	Können wir gerne so machen.
3254280	3264940	Das heißt, wir, meine Frage wäre, wie wir es dann genau angehen,
3265040	3265600	aber bitte.
3302470	3303310	Wie spät ist es?
3315910	3322670	Ich könnte mit Gags mit dem Speeder zur Blue Amber Bar fahren
3322670	3323630	und ihn dort abliefern.
3348530	3351870	Ich würde gerne sowas wie Intuition, gibt es das?
3351870	3354330	was mein Bauchgefühl
3354330	3354870	mir sagt,
3354990	3362330	was mein
3362330	3364290	Bauchgefühl mir sagt von der Erfahrung her,
3365030	3367710	wie er bisher so seinen
3367710	3370210	Eindruck, den er bisher gemacht hat, würde ich
3370210	3371230	jetzt so einschätzen, dass
3371230	3374230	man ihm so weit vertrauen kann, dass er den
3374230	3376190	Auftrag entsprechend
3376190	3378150	abschließt. Aber ob da, weiß nicht, ob ich da
3378150	3380090	noch irgendwie ein schlechtes Gefühl bei habe oder so.
3380850	3382210	Und wenn ja, wie groß das ist.
3383810	3385770	Ob er uns nochmal irgendwie übers Ohr zieht oder so.
3385930	3471270	14. Also meine Einschätzung
3471270	3474090	über Rax Vonn ist, dass wir
3474090	3478310	sehr gute Arbeit gemacht haben. Dafür, dass
3478310	3483590	der Darufell seit einigen Tagen verschwunden ist, haben wir ihn in kürzester Zeit
3483590	3487470	aufgespürt. Wir waren sehr effektiv dabei und wir haben ihn aus
3487470	3489890	diesem Safehouse von dem Imperium rausgeholt.
3491510	3495250	Ich sehe keinen Grund dafür, dass Rax uns einfach ausschaltet.
3495250	3501550	gegebenenfalls, weiß ich nicht, zwingt er uns dazu, einen weiteren Auftrag zu machen
