start	end	text
29170	655990	Ziemlich rot. Wissen Sie, wer Ihnen diese Visionen zuschickt? Ist es die Macht an sich oder ist es jemand, der über Fähigkeiten, die ich nicht verstehe, mit Ihnen Kontakt aufnimmt?
731360	738020	Naja, wenn ich das richtig verstanden habe, hat das zu einem großen Teil damit zu tun, dass Sie auf den Sternenzerstörer geschossen haben.
738020	745020	will ich hoffen.
768970	773120	Diese Offizierin,
773360	779400	diese Offizierin, die kommt doch
779400	781080	von diesem Sternenzerstörer, oder nicht?
791120	792440	Hat jemand sie gefragt,
792640	794060	ob der Mann noch lebt?
795440	796880	Der Weltenzerstörer Ares?
834280	834540	Was,
835260	836960	ja, da bin ich medizinisch
836960	838980	auf jeden Fall ganz der gleichen Meinung.
839580	840700	So kann das nicht bleiben.
844740	845820	Wenn allerdings
845820	848120	die Alternative ist,
848120	865560	sich auf den imperialen Sternenzerstörer zu begeben, nachdem man einen Deal mit...
865560	867700	Nicht einfach, aber das halte ich auch für besser.
912180	914960	Die Gefangene macht das etwas komplizierter.
921480	925080	Bisher mussten wir uns nur um Verletzte kümmern, die sich nicht wehren.
926820	934380	Auch noch auf eine Gefangene Acht zu geben, könnte die Überquerung der unwirtlichen Landschaft nach Klippenhorst schwieriger machen.
934380	1167230	Ist das sicher, ohne dass wir von den Imperialen geordnet werden? Wo würden wir dann hinfliegen? Was war denn das mit dem Auftrag? Wo müssten wir denn für den Auftrag hin?
1167230	1289890	Also wenn ich das nicht falsch verstanden habe, dann nach meinen Untersuchungen ist er stabil, nicht in akuter Lebensgefahr.
1290450	1300770	Allerdings besteht auch wenig Hoffnung, dass sich sein Zustand nachhaltig verbessern kann mit den derzeitig zur Verfügung stehenden Mitteln.
1300770	1308270	und man weiß nie, wie sich das, wenn er noch länger in diesem Zustand bleibt, wie sich das entwickelt.
1309930	1318890	Ohne geeignetes medizinisches Material können wir nicht mehr tun, als ihn weiter stabil halten
1318890	1320790	und hoffen, dass nichts Schlimmes dazwischen kommt.
1321170	1430590	Was ist das für ein Tempel? In World 20 gibt es ein Bild, Red Temple.
1450920	1455580	Das sind die gleichen Strukturen, die auch eben in der Spalte waren, wo wir lotgelandet sind.
1455760	1457400	nur bearbeitet.
1478460	1483980	Also, diese ganze religiöse
1483980	1485960	Kram, da kann ich
1485960	1486840	nicht mit viel anfangen.
1501880	1503180	Hat dieser Tempel
1503180	1504660	etwas mit der Macht zu tun?
1513840	1514340	Für mich
1514340	1518400	steht ein Tempel immer für Religion.
1519820	1520740	Von der Macht
1520740	1521600	verstehe ich auch nichts.
1522980	1595380	Let's go!
1880900	1981060	Yes. Also, was ich den Spinnern
1981060	1983000	nicht erzählen werde, ist, dass
1983000	1984760	ich nur darauf warte, dass Gamten
1984760	1986880	wieder aufwacht, um mir helfen zu können.
1987000	1988260	Und dann werde ich mich verdrücken.
1989240	1991380	Mit denen will ich nichts weiter zu tun haben als nötig.
1991480	1992740	Das darf ich sie aber nicht wissen lassen,
1992860	1993880	sonst bringen sie mich auch noch um.
2026360	2041920	Mich? Ich kann natürlich nicht dafür garantieren.
2049830	2053450	Alles, was die Wissenschaft in diesen Umständen vermag,
2053630	2054870	habe ich getan.
2056330	2061920	Und der Rest liegt nicht in meiner Hand.
2061920	2072140	Ich weiß nicht, ob die Macht da ein Wörtchen mitredet oder das Glück, das Schicksal, falls es all sowas gibt.
2073480	2087850	Die Wissenschaft ist, was meine Kenntnisse angeht, leider erschöpft und tut mir leid, das euch sagen zu müssen, aber ich bin der einzige, den ihr hier habt, denn die vormalige Ärztin liegt da hinten.
2087850	2122260	Ja, soweit ich das beurteilen kann, ist er stabil. Ich habe alles getan, um seine körperliche Heilung zu befördern. Das hat auch funktioniert. Aber ich meine, welche Traumata noch in seinem Hirn vorliegen oder andere innere Organschäden, die ich so ohne das geeignete medizinische Material nicht eruieren kann, weiß ich nicht.
2122260	2125240	deswegen kann ich sagen,
2125820	2128240	ich kann es für nichts garantieren,
2128460	2129960	aber er wirkt
2129960	2141060	erstmal stabil. Oh, während ihr
2141060	2143540	eure Gefangene
2143540	2144820	gemacht habt, habe ich ihn ständig
2144820	2146220	untersucht und überwacht.
2191770	2193150	Wir sind jetzt im Moment aber auch
2193150	2195050	alle auf der Brillen. Wir sind nur aus dem Zimmer
2195050	2196690	rausgegangen, wo die Frau schläft.
2198350	2198830	Ja.
2245620	2245980	Also
2245980	2247900	ich möchte
2247900	2255880	das Ganze nicht
2255880	2263020	nochmal wieder unbedingt von neuem aufwärmen. Aber was wäre denn, wenn ihr mit ihr aushandelt,
